topic,word,weight
0,man,0.0003
0,pga,0.0003
0,tour,0.0003
0,arsenal,0.0003
0,fc,0.0003
0,utd,0.0003
0,city,0.0003
0,liverpool,0.0003
0,rory,0.0003
0,master,0.0003
0,mcilroy,0.0003
0,major,0.0003
0,chelsea,0.0003
0,united,0.0003
0,scheffler,0.0003
0,ahead,0.0003
0,tyson,0.0003
0,fan,0.0003
0,paul,0.0003
0,season,0.0003
1,master,0.0531
1,wood,0.0288
1,liv,0.0283
1,tiger,0.0277
1,pga,0.0227
1,tour,0.0212
1,mcilroy,0.0192
1,rory,0.0187
1,scottie,0.016
1,scheffler,0.016
1,national,0.0121
1,phil,0.0094
1,mickelson,0.0089
1,augusta,0.0078
1,jon,0.0077
1,rahm,0.0076
1,paris,0.0065
1,koepka,0.0054
1,major,0.0054
1,former,0.0053
2,tyson,0.0394
2,fury,0.0265
2,usyk,0.0208
2,v,0.0201
2,oleksandr,0.0196
2,fight,0.0161
2,paul,0.0143
2,mike,0.0142
2,jake,0.0138
2,verstappen,0.0134
2,hamilton,0.0132
2,mcilroy,0.0123
2,rory,0.0118
2,max,0.0117
2,pga,0.0095
2,red,0.0082
2,mercedes,0.0077
2,luke,0.0074
2,littler,0.0074
2,scheffler,0.0066
3,six,0.0194
3,nation,0.0148
3,wale,0.0081
3,red,0.0073
3,scotland,0.0073
3,super,0.0073
3,men,0.0072
3,nfl,0.0066
3,france,0.0064
3,home,0.0063
3,ipl,0.0062
3,test,0.0059
3,saracen,0.0058
3,pakistan,0.0058
3,atherton,0.0057
3,premiership,0.0055
3,leinster,0.0052
3,nasser,0.0051
3,try,0.0051
3,rose,0.0051
4,pga,0.0497
4,liv,0.0482
4,rory,0.028
4,mcilroy,0.028
4,tour,0.0163
4,scheffler,0.012
4,scottie,0.012
4,rahm,0.0117
4,jon,0.0117
4,johnson,0.0103
4,dustin,0.0103
4,zurich,0.0103
4,classic,0.0103
4,tiger,0.0099
4,wood,0.0099
4,shane,0.0088
4,lowry,0.0088
4,xander,0.0074
4,schauffele,0.0074
4,mickelson,0.0073
5,man,0.0191
5,liverpool,0.0134
5,european,0.0129
5,arsenal,0.0122
5,city,0.012
5,utd,0.0105
5,apr,0.0094
5,min,0.0094
5,audio,0.0089
5,scottish,0.0083
5,race,0.0082
5,available,0.008
5,radio,0.0076
5,forward,0.0069
5,daily,0.0067
5,madrid,0.006
5,game,0.0057
5,forest,0.0051
5,best,0.0049
5,podcast,0.0046
6,andy,0.035
6,murray,0.0331
6,novak,0.0325
6,djokovic,0.032
6,nadal,0.0237
6,rafael,0.0216
6,wimbledon,0.0159
6,miami,0.0158
6,injury,0.0157
6,emma,0.013
6,raducanu,0.0126
6,legend,0.0107
6,retirement,0.0096
6,sabalenka,0.0087
6,italian,0.0079
6,plan,0.0078
6,aryna,0.0078
6,boyfriend,0.0074
6,ex,0.0071
6,remarkable,0.0063
7,tour,0.0263
7,master,0.0225
7,pga,0.0222
7,major,0.018
7,mcilroy,0.0152
7,scheffler,0.0136
7,lpga,0.009
7,rory,0.0084
7,tournament,0.0082
7,protect,0.0082
7,tip,0.0079
7,event,0.0074
7,sustainability,0.0066
7,round,0.0062
7,look,0.0061
7,korda,0.0061
7,help,0.0059
7,change,0.0058
7,wood,0.0055
7,home,0.0054
8,louis,0.0243
8,rees,0.0241
8,zammit,0.0241
8,billy,0.0197
8,vunipola,0.0197
8,county,0.0183
8,nfl,0.0178
8,smith,0.0153
8,marcus,0.0149
8,chief,0.0135
8,city,0.011
8,harlequin,0.0109
8,kansa,0.0109
8,odi,0.0084
8,test,0.0071
8,gloucester,0.007
8,tasered,0.0069
8,ex,0.0069
8,ipl,0.0067
8,majorca,0.0066
9,hamilton,0.0181
9,grand,0.0167
9,paul,0.0151
9,tyson,0.0141
9,max,0.0123
9,jake,0.0122
9,red,0.012
9,verstappen,0.0117
9,mike,0.0114
9,sullivan,0.0112
9,chinese,0.0111
9,fight,0.0108
9,ronnie,0.0105
9,prix,0.0096
9,v,0.0094
9,mcgregor,0.0087
9,mercedes,0.0083
9,conor,0.0083
9,marathon,0.0077
9,gp,0.0074
10,test,0.022
10,ben,0.0201
10,stokes,0.0195
10,india,0.0172
10,anderson,0.0154
10,flintoff,0.0136
10,root,0.0121
10,cricketer,0.012
10,series,0.0119
10,jimmy,0.0117
10,underwood,0.011
10,derek,0.0107
10,joe,0.0101
10,worcestershire,0.0099
10,freddie,0.0092
10,baker,0.0085
10,step,0.0082
10,english,0.0081
10,aged,0.0079
10,kate,0.0078
11,french,0.1164
11,wimbledon,0.0223
11,djokovic,0.0212
11,murray,0.0124
11,alcaraz,0.0122
11,sinner,0.0113
11,mcenroe,0.0106
11,nadal,0.0091
11,zverev,0.009
11,fan,0.009
11,draw,0.0086
11,wawrinka,0.0085
11,want,0.0083
11,begin,0.008
11,paris,0.0077
11,raducanu,0.0075
11,carlos,0.0071
11,exit,0.0067
11,surprise,0.0065
11,jan,0.0064
12,scheffler,0.037
12,apr,0.031
12,tour,0.0294
12,min,0.0245
12,available,0.0234
12,audio,0.023
12,rahm,0.0227
12,shot,0.0221
12,pga,0.0196
12,master,0.0178
12,radio,0.0142
12,chipping,0.0141
12,forecast,0.0141
12,ryder,0.0137
12,mcilroy,0.0134
12,liv,0.0133
12,tournament,0.0125
12,wood,0.0114
12,jon,0.011
12,korda,0.0109
13,djokovic,0.0215
13,wimbledon,0.019
13,miami,0.0177
13,raducanu,0.0158
13,nadal,0.0152
13,madrid,0.0148
13,sinner,0.014
13,mar,0.0128
13,apr,0.0116
13,swiatek,0.0106
13,murray,0.0104
13,italian,0.0095
13,monte,0.0087
13,carlo,0.0084
13,bad,0.0082
13,set,0.008
13,british,0.0077
13,sabalenka,0.0072
13,french,0.0071
13,collins,0.007
14,man,0.028
14,utd,0.0192
14,city,0.0183
14,arsenal,0.0181
14,liverpool,0.0178
14,fc,0.0152
14,united,0.014
14,chelsea,0.0122
14,manchester,0.0106
14,ten,0.0086
14,klopp,0.0086
14,hag,0.0085
14,transfer,0.0078
14,fa,0.0056
14,season,0.005
14,tottenham,0.0049
14,fan,0.0048
14,west,0.0044
14,club,0.0042
14,bos,0.0042
