week,word,freq
2024-week_14,league,133
2024-week_14,england,122
2024-week_14,liverpool,108
2024-week_14,win,107
2024-week_14,arsenal,102
2024-week_14,premier,101
2024-week_14,man,97
2024-week_14,city,90
2024-week_14,open,83
2024-week_14,woman,75
2024-week_14,tour,74
2024-week_14,title,68
2024-week_14,star,66
2024-week_14,team,61
2024-week_14,miami,59
2024-week_15,league,137
2024-week_15,premier,111
2024-week_15,man,107
2024-week_15,liverpool,107
2024-week_15,england,97
2024-week_15,master,96
2024-week_15,utd,87
2024-week_15,win,81
2024-week_15,arsenal,74
2024-week_15,star,73
2024-week_15,city,62
2024-week_15,title,57
2024-week_15,cup,53
2024-week_15,open,52
2024-week_15,team,52
2024-week_16,league,145
2024-week_16,master,143
2024-week_16,premier,104
2024-week_16,liverpool,97
2024-week_16,win,94
2024-week_16,england,84
2024-week_16,title,83
2024-week_16,arsenal,82
2024-week_16,man,66
2024-week_16,woman,63
2024-week_16,final,59
2024-week_16,city,56
2024-week_16,star,56
2024-week_16,scheffler,52
2024-week_16,team,50
2024-week_17,league,136
2024-week_17,win,126
2024-week_17,man,116
2024-week_17,cup,88
2024-week_17,england,86
2024-week_17,premier,80
2024-week_17,city,75
2024-week_17,woman,70
2024-week_17,utd,69
2024-week_17,star,66
2024-week_17,fa,62
2024-week_17,fc,60
2024-week_17,master,57
2024-week_17,championship,56
2024-week_17,arsenal,54
2024-week_18,league,160
2024-week_18,premier,113
2024-week_18,man,108
2024-week_18,win,102
2024-week_18,city,99
2024-week_18,england,93
2024-week_18,arsenal,92
2024-week_18,liverpool,89
2024-week_18,woman,75
2024-week_18,title,66
2024-week_18,star,62
2024-week_18,cup,60
2024-week_18,fc,56
2024-week_18,open,55
2024-week_18,get,55
2024-week_19,league,153
2024-week_19,premier,101
2024-week_19,man,98
2024-week_19,win,82
2024-week_19,open,81
2024-week_19,england,81
2024-week_19,cup,76
2024-week_19,city,73
2024-week_19,utd,70
2024-week_19,star,67
2024-week_19,liverpool,65
2024-week_19,fc,63
2024-week_19,title,61
2024-week_19,chelsea,60
2024-week_19,woman,59
2024-week_20,league,146
2024-week_20,man,139
2024-week_20,utd,110
2024-week_20,premier,97
2024-week_20,arsenal,96
2024-week_20,england,91
2024-week_20,win,90
2024-week_20,star,74
2024-week_20,title,72
2024-week_20,cup,71
2024-week_20,championship,71
2024-week_20,mcilroy,66
2024-week_20,woman,64
2024-week_20,fc,63
2024-week_20,city,60
2024-week_21,league,169
2024-week_21,premier,139
2024-week_21,man,115
2024-week_21,city,106
2024-week_21,win,99
2024-week_21,pga,82
2024-week_21,final,81
2024-week_21,championship,78
2024-week_21,england,78
2024-week_21,klopp,76
2024-week_21,fury,74
2024-week_21,title,73
2024-week_21,open,71
2024-week_21,tyson,70
2024-week_21,season,64
2024-week_22,man,144
2024-week_22,cup,132
2024-week_22,league,125
2024-week_22,england,109
2024-week_22,open,100
2024-week_22,utd,97
2024-week_22,win,93
2024-week_22,premier,89
2024-week_22,tyson,81
2024-week_22,final,79
2024-week_22,fury,78
2024-week_22,star,77
2024-week_22,city,75
2024-week_22,ten,72
2024-week_22,chelsea,72
2024-week_23,england,145
2024-week_23,open,139
2024-week_23,cup,125
2024-week_23,league,113
2024-week_23,woman,96
2024-week_23,win,81
2024-week_23,man,80
2024-week_23,star,73
2024-week_23,tyson,71
2024-week_23,madrid,66
2024-week_23,transfer,62
2024-week_23,final,61
2024-week_23,utd,60
2024-week_23,new,59
2024-week_23,french,59
